SubClass,BOULDERS/LOOSE ROCK,GRAVEL,MADE GROUND (MAN MADE),MUD,MUD & GRAVEL,NOT PRESENT,ROCK PLATFORM,ROCK PLATFORM WITH BANKS OF GRAVEL,ROCK PLATFORM WITH BOULDERS/LOSE ROCK,SAND,SAND & GRAVEL,SAND & MUD,UNSPECIFIED
Basking shark,,,,,,,1.0,,,,,,
Bottlenose dolphin,2.0,5.0,1.0,3.0,1.0,,14.0,3.0,,40.0,3.0,1.0,
Cetacean (indeterminate species),12.0,14.0,3.0,2.0,1.0,1.0,58.0,7.0,22.0,132.0,14.0,1.0,
Grey seal,121.0,110.0,13.0,12.0,6.0,2.0,526.0,42.0,92.0,1022.0,85.0,10.0,4.0
Harbour porpoise,63.0,138.0,15.0,38.0,22.0,3.0,265.0,23.0,63.0,734.0,110.0,30.0,1.0
Harbour seal,24.0,126.0,15.0,17.0,36.0,1.0,152.0,31.0,34.0,324.0,54.0,6.0,13.0
Kogia sp.,,,,,,,2.0,1.0,,2.0,1.0,,
Marine turtle,2.0,1.0,1.0,1.0,,,1.0,2.0,7.0,1.0,2.0,1.0,
Mysticete,21.0,22.0,1.0,6.0,6.0,3.0,99.0,13.0,22.0,68.0,10.0,,
Pelagic delphinid,64.0,82.0,12.0,25.0,1.0,4.0,2.0,23.0,57.0,539.0,62.0,4.0,7.0
Pinniped (indeterminate species),60.0,132.0,10.0,26.0,27.0,,228.0,21.0,66.0,650.0,108.0,13.0,3.0
Pinniped (other),1.0,1.0,1.0,2.0,,,1.0,1.0,,3.0,,,
Shark,1.0,6.0,1.0,1.0,,,5.0,1.0,4.0,11.0,2.0,,
Sperm/beaked whale,16.0,17.0,1.0,4.0,2.0,3.0,83.0,5.0,19.0,114.0,11.0,,
